,b2818,b3959,b3958,b3359,b3957,b0273,b3172,b3960,b4254
42c__42c_ale10__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
42c__42c_ale3__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
42c__42c_ale4__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
42c__42c_ale5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
42c__42c_ale8__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
42c__wt_42c__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__delgade_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__delgadw_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__delgadw_ph5__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__delgadx_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__delgadx_ph5__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__wt_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
acid__wt_ph5__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__delcra_ac__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__delcra_ac__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__delcra_fru__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__wt_ac__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__wt_ac__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__wt_fru__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
cra_crp__wt_fru__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delar1_glyc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delar1_glyc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delar2_glyc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delar2_glyc__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_fru__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_fru__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_fru__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glc__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glyc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glyc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
crp__delcrp_glyc__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__delmenFentC__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__delmenFentC__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__delmenFentC_citr__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__delmenFentC_citr__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentC_ale29__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentC_ale29__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentC_ale30__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentC_ale39__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentC_ale39__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentCubiC_ale36__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentCubiC_ale37__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentCubiC_ale37__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentCubiC_ale38__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
efeU__menFentCubiC_ale38__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fps__fps_serB_ale1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fps__fps_serB_ale4__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fps__fps_serB_ale4__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fps__fps_thrA_ale1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fps__fps_thrA_ale1__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__delfur_dpd__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__delfur_dpd__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__delfur_fe2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__delfur_fe2__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__wt_dpd__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
fur__wt_dpd__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
glu__glu_ale8__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__arg_sbt__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__arg_sbt__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__cytd_rib__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__cytd_rib__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__gth__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__gth__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__leu_glcr__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__leu_glcr__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__met_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__met_glc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__phe_acgam__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__phe_acgam__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__thm_gal__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__thm_gal__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__tyr_glcn__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__tyr_glcn__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__ura_pyr__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__ura_pyr__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ica__wt_glc__6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__bw_delmntr__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__bw_delnac_ade__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__bw_delnac_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_ade__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc__3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc__4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc_anaero__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_glc_anaero__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
minspan__wt_trp__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
misc__nitr_031__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
misc__wt_no_te__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
misc__wt_no_te__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__bw_delnac_csn__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__bw_delnac_csn__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__bw_delnac_gln__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__bw_delnac_gln__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__wt_cytd__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__wt_cytd__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__wt_gln__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
nac_ntrc__wt_gln__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__bw_ac__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__bw_ac__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__bw_fum__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__bw_fum__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__wt_glu__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__wt_gly__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
omics__wt_gly__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ompr__wt_nacl__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ompr__wt_nacl__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__deloxyr_pq__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__deloxyr_pq__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__delsoxr_pq__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__delsoxr_pq__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__delsoxs_pq__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__delsoxs_pq__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__wt_pq__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
oxidative__wt_pq__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale14__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale14__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale14_f9__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale14_f9__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale16__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__arab_ale16__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__lyx_ale2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__lyx_ale2__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__lyx_ale2_f6__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__lyx_ale4__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__lyx_ale4__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale26__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale26__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale26_f10__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale28__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale28__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pal__tartr_ale28_f10__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__glu4_delpgi__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale3__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale6__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale7__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
pgi__pgi_ale8__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__rpoBE546V_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__rpoBE546V_lb__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__rpoBE546V_lb__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__rpoBE672K_lb__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__rpoBE672K_lb__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__wt_031__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__wt_lb__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
rpoB__wt_lb__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glc_ac_ac2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glc_ac_glc1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glc_ac_glc2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glc_glyc_glyc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glc_xyl_xyl__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glyc_ale1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__glyc_ale2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__wt_ac__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__wt_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__wt_glyc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__wt_xyl__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__xyl_ale1__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__xyl_ale2__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ssw__xyl_ale3__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t00_growth1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t01_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t02_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t03_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t06_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t08_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t09_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t10_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t11_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t12_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t14_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t16_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t17_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t18_starve,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t22_growth2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t23_growth2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t27_growth2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
starve_series__t28_growth2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delybaO__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delybaQ__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delybaQ__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delybiH__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delybiH__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delydcI_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delydcI_ph5__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delydcI_ph8__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delydcI_ph8__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyddM__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyddM__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyeiE__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyeiE__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyheO__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyiaJ__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyiaJ__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyieP__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__delyieP__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__wt_glc__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__wt_glc__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__wt_ph5__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__wt_ph8__1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
ytf__wt_ph8__2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
